48b7f9e9-cac3-44db-9337-958143a86309,0637,چهارراه نیاکان,7545925327070,IR202649434559533357541949,حساب سپرده,5029014075859977,بانک ملت
d8f2d78a-99db-4ed8-846c-c968f77b900c,7733,فدک,7545928447608,IR229969156502231251105651,حساب سپرده,5028931432772989,بانک انصار
0e7ea426-f0bf-4dd5-b2fa-39f31530672e,5760,نیروی هوایی,7563520574556,IR129024578536730119175275,حساب سپرده,5894955499098185,بانک ملی
9a699369-fcc6-4fcf-a0ba-be673c8dcbeb,0211,مجتمع دانشگاهی شاهد,7563520587599,IR004391444144694573275049,حساب جاری,5892732411116762,بانک ملی
eafd457f-1aa4-43bb-9932-4d517f779757,1769,اداره کل مالیاتهای غرب تهران,7563521564118,IR023513630241839486028321,حساب سپرده,6037553065420939,بانک انصار
0cc1f04b-89ae-4191-8f55-d270dfb88cde,4777,نوبهار,7563526449377,IR010810806674990948117964,حساب جاری,6396596327532139,بانک ملت
7742fb0f-f891-4ac7-a2a5-3af134e86967,6050,خیابان جمهوری اسلامی,7563530436070,IR214724665566911406821994,حساب پس انداز,6279520887877476,بانک ملت
28033d82-b35b-43a2-b095-15a58712203d,9510,حاجب الدوله,7547598246072,IR104817685748697349610645,حساب پس انداز,6396506848176271,بانک مسکن
e0ef0db7-3b1a-4227-92e1-71d7f4f70b21,6970,انبارهای عمومی ایران,7547612496665,IR226409037156492144216351,حساب پس انداز,5892696665354035,بانک دی
6f4937a5-070a-458e-a711-81b7791283a1,8917,خیابان ستارخان,7547613825396,IR216655604078577903644460,حساب جاری,6273977388683284,بانک سپه
8e4a22b3-e32d-4244-827f-e39a6d00fc0a,9578,فرخی,7545959268849,IR007904075576763940219519,حساب پس انداز,6104062247153922,بانک ملت
553a1c6c-4a00-426d-bf20-f4fe71dc5fdd,9226,کمرد,7547647633386,IR219960428921431327453458,حساب سپرده,5028511725728230,بانک اقتصاد نوین
a1cd7461-a408-40cf-9ac1-6965b20cae21,7620,دکترشریعتی,7545978739058,IR121793852639753075578511,حساب پس انداز,5028321430891262,بانک کشاورزی
45309c8c-51f0-4c3d-979b-a21eff6158ce,2544,خیابان ظفر,7547650464994,IR205590212857515363266685,حساب پس انداز,6396991980041997,بانک اقتصاد نوین
2d9e0b2d-54c6-4343-85a3-0db2c80e83c7,4322,شهیدکیایی نژاد,7547651609268,IR119150920814733321977399,حساب پس انداز,6279813786195175,بانک ملی
971cd19e-b851-4fbd-a059-3b23422b9265,7219,میدان هروی,7547653102879,IR214302490100251582827610,حساب پس انداز,6221363849854225,بانک ملت
57532e75-a8eb-4c02-a77b-d62436f9481b,6881,کوی ضرابخانه,7547653452959,IR222220377499066373552110,حساب جاری,6273767179192608,بانک رفاه
8aa770e3-1fac-4102-b4b5-662335d59f64,0938,اذربایجان,7547654597220,IR204573183731600696631782,حساب سپرده,5029240816701575,بانک ملت
ced6f268-ddee-414b-beb5-d90fe9ef244d,9702,میدان امام حسین,7547655976483,IR126587090236993644425943,حساب سپرده,6279777015966877,بانک شهر
d9481019-14d1-4829-a993-353236e069da,2397,یافت اباد,7547660293882,IR020817108314647485315111,حساب پس انداز,6037387693806343,بانک ملی
c601acea-b5f0-4900-8f6f-5e2a0116215d,0868,برج ارمیتا,7547664660371,IR105814691936407867227404,حساب جاری,5892944950927606,بانک ملت
a60905ea-597f-4376-a901-d4ecbac09f3d,2191,نوشیروان,7547666214530,IR108020833701037815252502,حساب پس انداز,6276555279962839,بانک ملت
78f3f51f-532b-4a8b-a40a-84652bcd6622,1242,قلهک,7547673173424,IR019838819418412060144318,حساب جاری,6276615431788602,بانک ملی
